year_month_day,BENCHMARK_DELTA_T,BENCHMARK_EPI,BENCHMARK_INSULATION
20200401,0.6833740984271858,19.948932931938373,95.88714540670668
20200402,0.7407206177760395,321.7806073914301,95.88711091419667
20200403,0.5301628421616218,228.16540730928037,95.88712721158456
20200404,0.10408210775479747,0.0008468075791256524,95.88714285183428
20200405,0.12472843903311122,0.03958781677554043,95.88712173514816
20200406,0.11410090967039958,80.6914767447793,95.88705096524687
20200407,0.16548719248299826,30.72218674917166,95.88712358636876
20200408,0.1835035215277057,48.92825505327104,95.88712788079955
20200409,0.14161673184853163,24.817954688847237,95.88705010066653
20200410,0.17131177299458047,27.465268382590335,95.88711344101476
20200411,0.12604362871261923,0.02906189837688771,95.88711180597244
20200412,0.13309306508122365,0.023189484998056287,95.88708247562408
20200413,0.12609276133080422,5.056363302485559,95.88711615247024
20200414,0.22845718486246866,40.451287602408435,95.8870466571072
20200415,0.4283393833371049,111.28163948927563,95.88709948541538
20200416,0.26004895894026875,55.29757766209128,95.88708064018891
20200417,0.17415733871083844,27.963129777073867,95.88711995847852
20200418,0.12805974325056974,0.01620318069678092,95.88706340226847
20200419,0.13476083756744578,0.022723928972225166,95.88709253660527
20200420,0.11292787579021907,0.08804549857188362,95.88714082093244
20200421,0.13514048248956684,16.52357548198508,95.88711963310324
20200422,0.22240464756262981,34.30651344188809,95.88714404374332
20200423,0.22972926607670782,25.343703113711193,95.88708172032611
20200424,0.12527783169660067,13.156041560831246,95.88711138251398
20200425,0.13125233648220055,0.010404212028713573,95.88716368899532
20200426,0.13488669202934633,0.017243725047358112,95.8870868478923
20200427,0.11438832693497153,8.755057867660026,95.88710396129737
20200428,0.1200114607447114,0.021645432772162392,95.88708407834405
20200429,0.2345759224910973,42.57795814796096,95.8870638301772
20200430,0.27208928431948726,27.910869464559088,95.88711759397711
20200501,0.40746384487039355,72.32141532310541,95.88709701999682
20200502,0.1116646776613227,0.014907431603081705,95.88709142999568
20200503,0.12653160385331358,0.014345341453172296,95.88709142999568
20200504,0.38027199797208033,66.78597365129379,95.88709747096641
20200505,0.20493390151787438,17.00284762750941,95.8871062171186
20200506,0.3137743374442611,57.99827120395832,95.88709999371925
20200507,0.30917172969661755,65.9380465085068,95.88710100616024
20200508,0.16257976989844333,24.083049861354947,95.88709739285505
20200509,0.12900826515598893,0.006213476821501445,95.88709175907314
20200510,0.13621056110714402,0.005836017152853401,95.88710243892257
20200511,0.12271638820592544,0.019846808001607315,95.88710229027916
20200512,0.2932603272512889,62.48592140179591,95.88709707930983
20200513,0.3634225674591151,68.77947198109821,95.88708768123871
20200514,0.4649098493977801,73.03834945602526,95.88710293312397
20200515,0.4132596967704877,67.88145295584532,95.88708768123871
20200516,0.11679804885764876,0.011104429794861516,95.8870919061866
20200517,0.13228465102955847,0.011421297874460378,95.8870967104188
20200518,0.16105012293491078,23.747041297923975,95.88710725102155
20200519,0.12055124804095738,0.0116920239492174,95.88709968007075
20200520,0.1272875059310783,0.013522225319363769,95.8870950209597
20200521,0.1376474080624293,0.015362316425241716,95.88709288748896
20200522,0.13779853053243843,0.015142912654914653,95.88710216450646
20200523,0.1303306106818157,0.01404870533418716,95.88710036638746
20200524,0.13183975206929358,0.016321548955681917,95.88709181471212
20200525,0.19821846228318762,33.39719626951528,95.88709468166755
20200526,0.1377246917041731,0.972302098575824,95.8870882241967
20200527,0.12317200223344583,0.014057818485109692,95.88710172878963
20200528,0.127805725699395,0.01660853633000215,95.88709845937419
20200529,0.12562694999503454,0.021421204999478503,95.88710272088778
